Date,High,Low,Precip
2019-01-01,60.1,43,0
2019-01-02,63,45,0
2019-01-03,68,48.9,0
2019-01-04,66,51.1,0
2019-01-05,61,50,0.1
2019-01-06,60.1,46,0.39
2019-01-07,60.1,50,0.79
2019-01-08,71.1,52,0
2019-01-09,66.9,52,0
2019-01-10,63,50,0
2019-01-11,64.9,50,0
2019-01-12,61,50,1.03
2019-01-13,62.1,48,0
2019-01-14,59,50,1.25
2019-01-15,59,51.1,0.46
2019-01-16,59,51.1,0.77
2019-01-17,61,57,2.42
2019-01-18,66,53.1,0
2019-01-19,79,55,0
2019-01-20,75,61,0
2019-01-21,64.9,52,0
2019-01-22,69.1,52,0
2019-01-23,68,53.1,0
2019-01-24,78.1,52,0
2019-01-25,77,55,0
2019-01-26,77,60.1,0
2019-01-27,77,57.9,0
2019-01-28,75,55,0
2019-01-29,70,55.9,0
2019-01-30,66,54,0
2019-01-31,62.1,54,0.97
2019-02-01,63,50,0
2019-02-02,59,52,1.75
2019-02-03,57.9,51.1,0.61
2019-02-04,57.9,52,0.49
2019-02-05,57.9,46,0.23
2019-02-06,57,43,0
2019-02-07,63,42.1,0
2019-02-08,64,46,0
2019-02-09,57.9,46,0.51
2019-02-10,57,46.9,0.39
2019-02-11,63,44.1,0
2019-02-12,69.1,46,0
2019-02-13,61,51.1,0.04
2019-02-14,61,50,2.01
2019-02-15,59,48,0.17
2019-02-16,59,46,0
2019-02-17,59,46,0
2019-02-18,59,44.1,0
2019-02-19,60.1,44.1,0
2019-02-20,57,44.1,0
2019-02-21,57,43,0.02
2019-02-22,62.1,46,0
2019-02-23,61,44.1,0
2019-02-24,64.9,46.9,0
2019-02-25,64.9,48.9,0
2019-02-26,64.9,48.9,0
2019-02-27,63,50,0
2019-02-28,64,54,0.22
2019-03-01,64,54,0
2019-03-02,61,54,1.17
2019-03-03,62.1,55,0.02
2019-03-04,62.1,52,0
2019-03-05,66.9,50,0
2019-03-06,61,52,1.89
2019-03-07,60.1,52,0.04
2019-03-08,59,48,0
2019-03-09,62.1,48,0
2019-03-10,60.1,46.9,0
2019-03-11,64.9,48.9,0
2019-03-12,71.1,55.9,0
2019-03-13,70,54,0
2019-03-14,70,53.1,0
2019-03-15,75,53.1,0
2019-03-16,80.1,60.1,0
2019-03-17,82.9,64,0
2019-03-18,80.1,57.9,0
2019-03-19,71.1,55,0
2019-03-20,64,55.9,0.12
2019-03-21,61,48.9,0.02
2019-03-22,63,48,0
2019-03-23,64,52,0
2019-03-24,66.9,51.1,0
2019-03-25,71.1,53.1,0
2019-03-26,70,51.1,0
2019-03-27,66.9,52,0
2019-03-28,64.9,53.1,0
2019-03-29,71.1,53.1,0
2019-03-30,77,59,0
2019-03-31,80.1,63,0
2019-04-01,82,64,0
2019-04-02,73.9,57,0
2019-04-03,64.9,55,0
2019-04-04,64.9,54,0
2019-04-05,64,52,0
2019-04-06,66,53.1,0
2019-04-07,77,55,0
2019-04-08,81,61,0
2019-04-09,78.1,60.1,0
2019-04-10,75.9,59,0
2019-04-11,75,57,0
2019-04-12,77,59,0
2019-04-13,73.9,55.9,0
2019-04-14,69.1,54,0
2019-04-15,66.9,48.9,0
2019-04-16,63,54,0
2019-04-17,69.1,52,0
2019-04-18,78.1,55,0
2019-04-19,72,55,0
2019-04-20,63,55,0
2019-04-21,64.9,54,0
2019-04-22,66.9,52,0
2019-04-23,73,55,0
2019-04-24,73,55.9,0
2019-04-25,72,55.9,0
2019-04-26,66.9,55,0
2019-04-27,66,57,0
2019-04-28,66,57,0
2019-04-29,66,54,0.04
2019-04-30,64.9,55,0
2019-05-01,66,52,0
2019-05-02,66,54,0
2019-05-03,68,54,0
2019-05-04,69.1,57,0
2019-05-05,66,57.9,0
2019-05-06,66,55.9,0
2019-05-07,64.9,55.9,0
2019-05-08,63,57.9,0
2019-05-09,64,57.9,0
2019-05-10,69.1,57.9,0
2019-05-11,70,57,0
2019-05-12,71.1,57.9,0
2019-05-13,68,60.1,0
2019-05-14,70,60.1,0
2019-05-15,66,59,0
2019-05-16,66,57,0.96
2019-05-17,69.1,52,0
2019-05-18,70,54,0
2019-05-19,63,50,0.31
2019-05-20,68,52,0
2019-05-21,66,55.9,0
2019-05-22,66,54,0.73
2019-05-23,62.1,53.1,0
2019-05-24,66.9,53.1,0
2019-05-25,66,54,0
2019-05-26,64,54,0
2019-05-27,64,48,0.02
2019-05-28,66,52,0
2019-05-29,70,55,0
2019-05-30,69.1,55,0
2019-05-31,66,57,0
2019-06-01,64.9,57.9,0
2019-06-02,66.9,57.9,0
2019-06-03,66.9,57.9,0
2019-06-04,68,57.9,0
2019-06-05,71.1,60.1,0
2019-06-06,69.1,60.1,0
2019-06-07,69.1,60.1,0
2019-06-08,72,60.1,0
2019-06-09,77,60.1,0
