Weather_Date,Max,Min,Average,Precipitation
2019-01-01,62,38,50,0
2019-01-02,63,38,50.5,0
2019-01-03,67,43,55,0
2019-01-04,66,45,55.5,0
2019-01-05,58,48,53,0.55
2019-01-06,61,46,53.5,0
2019-01-07,61,51,56,0.2
2019-01-08,72,50,61,0
2019-01-09,67,47,57,0
2019-01-10,65,49,57,0
2019-01-11,65,51,58,0
2019-01-12,60,52,56,0.74
2019-01-13,61,49,55,0
2019-01-14,57,52,54.5,1
2019-01-15,59,50,54.5,0.55
2019-01-16,60,53,56.5,0.99
2019-01-17,62,56,59,0.93
2019-01-18,67,54,60.5,0
2019-01-19,78,51,64.5,0
2019-01-20,74,54,64,0
2019-01-21,63,53,58,0
2019-01-22,67,47,57,0
2019-01-23,67,45,56,0
2019-01-24,77,46,61.5,0
2019-01-25,77,48,62.5,0
2019-01-26,77,50,63.5,0
2019-01-27,77,51,64,0
2019-01-28,75,50,62.5,0
2019-01-29,71,55,63,0
2019-01-30,68,54,61,0
2019-01-31,60,52,56,0.99
2019-02-01,64,48,56,0
2019-02-02,59,53,56,1.73
2019-02-03,60,52,56,0.46
2019-02-04,60,51,55.5,0.27
2019-02-05,56,46,51,0.24
2019-02-06,57,43,50,0
2019-02-07,62,43,52.5,0
2019-02-08,63,44,53.5,0
2019-02-09,60,47,53.5,0.26
2019-02-10,58,47,52.5,0.12
2019-02-11,61,40,50.5,0
2019-02-12,69,42,55.5,0
2019-02-13,61,52,56.5,0.09
2019-02-14,63,53,58,2.12
2019-02-15,61,49,55,0.18
2019-02-16,60,45,52.5,0
2019-02-17,58,44,51,0
2019-02-18,59,43,51,0
2019-02-19,60,41,50.5,0
2019-02-20,57,43,50,0.08
2019-02-21,57,43,50,0
2019-02-22,62,40,51,0
2019-02-23,62,46,54,0
2019-02-24,66,46,56,0
2019-02-25,68,48,58,0
2019-02-26,66,47,56.5,0
2019-02-27,66,50,58,0.01
2019-02-28,67,56,61.5,0.03
2019-03-01,66,57,61.5,0
2019-03-02,62,55,58.5,0.89
2019-03-03,63,54,58.5,0
2019-03-04,65,52,58.5,0
2019-03-05,67,49,58,0.05
2019-03-06,61,54,57.5,1.25
2019-03-07,62,51,56.5,0
2019-03-08,60,49,54.5,0
2019-03-09,62,50,56,0
2019-03-10,62,49,55.5,0
2019-03-11,67,50,58.5,0
2019-03-12,71,55,63,0
2019-03-13,69,51,60,0
2019-03-14,71,48,59.5,0
2019-03-15,76,48,62,0
2019-03-16,81,50,65.5,0
2019-03-17,85,57,71,0
2019-03-18,79,57,68,0
2019-03-19,69,55,62,0
2019-03-20,67,54,60.5,0
2019-03-21,63,52,57.5,0
2019-03-22,66,49,57.5,0
2019-03-23,66,55,60.5,0
2019-03-24,70,53,61.5,0
2019-03-25,75,53,64,0
2019-03-26,72,53,62.5,0
2019-03-27,70,56,63,0
2019-03-28,67,54,60.5,0
2019-03-29,73,51,62,0
2019-03-30,80,54,67,0
2019-03-31,85,60,72.5,0
2019-04-01,84,61,72.5,0
2019-04-02,71,59,65,0
2019-04-03,67,57,62,0
2019-04-04,67,56,61.5,0.01
2019-04-05,67,54,60.5,0
2019-04-06,70,56,63,0
2019-04-07,79,56,67.5,0
2019-04-08,87,60,73.5,0
2019-04-09,80,62,71,0
2019-04-10,77,59,68,0
2019-04-11,74,57,65.5,0
2019-04-12,77,57,67,0
2019-04-13,79,56,67.5,0
2019-04-14,73,54,63.5,0
2019-04-15,67,52,59.5,0
2019-04-16,65,57,61,0
2019-04-17,75,54,64.5,0
2019-04-18,82,56,69,0
2019-04-19,73,57,65,0
2019-04-20,66,57,61.5,0
2019-04-21,70,55,62.5,0
2019-04-22,69,55,62,0
2019-04-23,78,56,67,0
2019-04-24,79,58,68.5,0
2019-04-25,77,58,67.5,0
